"Indicatortype","Indicator","Description"
"domain","intrepidpotashs.com",""
"domain","ireataeoronlineecergynewnote.xyz",""
"domain","isccontractings.com",""
"domain","ispschools.co",""
"domain","itsonlinewiththefileofficeofficial.xyz",""
"domain","iukygt98yu09i8iuy908iuy908iuytrgfh67.com",""
"domain","jsptsenergy.com",""
"domain","jukiyq.com",""
"domain","junnioehsnsbh7.me",""
"domain","kathisp.com",""
"domain","kbnoffice.com",""
"domain","keep356fgfhgutryt.com",""
"domain","keepsettingsinfoanon.com",""
"domain","kickte.com",""
"domain","kiymanfinancial.com",""
"domain","kj4brvghvjk.com",""
"domain","kleinfalder.com",""
"domain","klimateshield.net",""
"domain","knyjbio.com",""
"domain","koc-tr.com",""
"domain","kreagermitchell.click",""
"domain","ktorresrray.com",""
"domain","kupolae.com",""
"domain","kushyedhfman.com",""
"domain","lakrvsm.com",""
"domain","lanckstele.com",""
"domain","lang-cq.com",""
"domain","leedseng.com",""
"domain","levaelld.com",""
"domain","lfiliumination.com",""
"domain","lifetechrned.com",""
"domain","litechcking.xyz",""
"domain","lityrest.com",""
"domain","liwsupply.com",""
"domain","lkhgfghccghgh366555.com",""
"domain","lmscorp-us.com",""
"domain","lnstream.net",""
"domain","lntrecash.com",""
"domain","logindri-veshare.live",""
"domain","loginmicrossft.co",""
"domain","logsettingsforlog.com",""
"domain","lointree.com",""
"domain","longetivity.co.uk",""
"domain","m0367d6378b355472d879736b7350.live",""
"domain","m0autthxxd47.com",""
"domain","mabdhufbwkshudgvhu.com",""
"domain","madasmaneudonedeo.com",""
"domain","mailpasswordexpiry-reminder.com",""
"domain","mailscancache.com",""
"domain","mailstoragenoticeonline.com",""
"domain","makairalandscaqe.com",""
"domain","managementlocks.com",""
"domain","mandnsjeyrusmskbdv.com",""
"domain","mansoolsnsjwuajshd.com",""
"domain","mapdatew.com",""
"domain","marshwestin.com",""
"domain","marynellmalonyelawfirm.com",""
"domain","mashcapyusu.org",""
"domain","mashroecy.com",""
"domain","maxismstaffing.com",""
"domain","mcrosftpasswd-activity.com",""
"domain","melograno.click",""
"domain","meqal-secure.com",""
"domain","merrakii.com",""
"domain","messageallianceclue.com",""
"domain","mhkspartners.com",""
"domain","miccrosoftttoficee365.com",""
