vmname,ipaddress
av-kohls-1,10.140.32.62
av-krasdale-1,10.140.32.68
av-ktt-1,10.140.32.9
av-ldd-1,10.140.32.37
av-loblaw-td,10.140.32.58
av-loblaw16-1,10.140.32.25
av-lole,10.140.32.31
av-mcolthurst-1,10.140.32.14
av-mcolthurst-2,10.140.32.26
av-meijer-1,10.140.32.64
av-mhatty-1,10.140.32.27
av-mhatty-2,10.140.32.28
av-microcenter-1,10.140.32.65
av-pfj-1,10.140.32.73
av-pfj-2,10.140.32.133
av-publix-1,10.140.32.60
av-redhat-71-2,10.140.32.32
av-sowen-1,10.140.32.15
av-sowen-2,10.140.32.5
av-sowen-3,10.140.32.71
av-sprouts-1,10.140.32.67
av-staples-ca-1,10.140.32.72
av-staples-us-1,10.140.32.66
AV-TestDatabases-2012,10.140.32.61
av-therange-1,10.140.32.106
av-thesource-1,10.140.32.107
av-walmart-1,10.140.32.96
av-wholefoods-1,10.140.32.92
av-winco-1,10.140.49.5
Aveek-Ubuntu20,10.140.102.57
aveek10x64-01,10.140.102.54
aveek8x64-01,10.140.102.53
avinash-falcon,10.140.98.12
BASEIMGMSQL2K12,10.140.96.14
BASEIMGMSQL2K14,10.140.96.15
BASEIMGMSQL2K16,10.140.96.16
BASEIMGMSQL2K19,10.140.96.17
BASEIMGOEL8L,10.140.96.21
BASEIMGUBUN20GUI,10.140.102.32
BASEIMGW2K12R2,10.140.97.20
BASIMGCPMW1064,10.140.102.31
BASIMGW2K12R2,10.140.96.99
BASIMGWIN10X86,10.140.104.236
BASIMGWIN11,10.140.102.30
BASIMGWIN32,10.140.100.203
BB15-Template,10.140.36.41
BB29-Temp2,10.140.36.43
BB29-Template,10.140.36.42
bbb-report-1,10.140.32.99
Bedanta-W12R2,10.140.98.160
bigydevappvm01,10.140.32.125
Bitan-MVE-Ubuntu-16,10.140.98.16
boscovdevappvm01,10.140.32.59
bruticus,10.140.46.132
bugs,10.143.24.136
build-tc12,10.140.52.148
buildgenome,10.140.13.7
buildgenomereports,10.140.13.11
buildimages,10.140.13.64
buildjenkins,10.140.13.19
ca,10.140.14.182
cachaindc3,10.140.14.152
Canoes,10.140.65.8
carmont-z-template-win16srv,10.140.36.50
caroot,10.140.14.170
caroot-fwsecurity-ftlesx-rds-lexmark-com-restored,10.140.36.15
CCS-MPA-QA,10.140.104.25
CCS-MPS-QA,10.140.104.18
CCS-MPS-Template,10.140.104.16
CCS-MPS2-TestVM,10.140.104.11
cdclcebu-1,10.140.105.23
CDCLCEBUWIN16,10.140.105.20
CDCLCEBUWIN16-1,10.140.105.22
CDCLCEBUWIN16-2,10.140.105.21
cdev-onbaseesf,10.140.65.16
cdevonbaseesf,10.140.65.5
cdevonbaseesf-01,10.140.106.54
cdevonbaseesf02,10.140.106.14
CDEVSVN001,10.140.105.28
cebuppqagit,10.140.107.67
cebusofi-lpm2,10.140.105.11
CFCMW10x64VM-1,10.140.104.231
CFCMW10x64VM-2,10.140.104.232
CFCMW10x64VM-3,10.140.104.229
CFCMW10x64VM-4,10.140.27.197
CFCMW10x64VM-5,10.140.27.196
CFCMW10x64VM-6,10.140.27.198
CFCMW10x86VM-1,10.140.104.230
CFCMW10x86VM-2,10.140.27.199
CFCMW11x64VM-1,10.140.104.237
CFCMW2K22VM-1,10.140.104.234
CFCMW2K22VM-2,10.140.104.235
CFCMW2K22VM-3,10.140.104.233
CFMLINUXUBUNTU,10.140.50.24
CFMSTLW10X6401,10.140.50.7
CFMSTLW10X6402,10.140.50.8
CFMSTLW10X6403,10.140.50.9
CFMSTLW10X6406,10.140.50.10
CFMSTLW10X6407,10.140.50.11
CFMSTLW10X6408,10.140.50.12
CFMSTLW10X8604,10.140.50.4
CFMSTLW10X8605,10.140.50.5
CFMSTLW11X6401,10.140.50.20
CFMSTLW11X6402,10.140.50.25
CFMSTLW11X6403,10.140.50.26
CFMSTLW11X6404,10.140.101.21
CFMSTLWIN10X64,10.140.50.6
CFMW10-AVM1,10.140.101.13
CFMW10-AVM10,10.140.50.18
CFMW10-AVM2,10.140.101.17
CFMW10-AVM3,10.140.101.16
CFMW10-AVM4,10.140.101.15
CFMW10-AVM5,10.140.101.18
CFMW10-AVM6,10.140.50.17
CFMW10-AVM7,10.140.50.14
CFMW10-AVM8,10.140.50.19
CFMW10-AVM9,10.140.50.16
CFMW11x8601,10.140.50.21
CFMW2K22-AVM1,10.140.101.19
CFMW2K22-AVM2,10.140.50.15
CFMWIN10X6401,10.140.101.7
CFMWIN10X6402,10.140.101.8
CFMWIN10X6405,10.140.101.5
CFMWIN10X6410,10.140.101.10
CFMWIN10X8601,10.140.101.14
CFMWSER2012R2,10.140.101.20
CFMWSER2016,10.140.50.22
CFMWSER2019,10.140.50.23
charles-vm,10.140.105.7
chdewin2k22vm2,10.140.98.245
chinagit,10.143.43.6
chinajenkins,10.143.43.5
chinajenkins,10.140.13.10
CopyCenter,10.140.32.94
cougar,10.140.13.12
coverity,10.140.13.14
CPM-Automation-Sdas,10.140.102.70
CPM-Cloud-MUP-WIN10,10.140.102.111
CPM-Repo-Sdas,10.140.102.134
CPM-Ubuntu22-Sdas,10.140.102.121
CPM-Win10-x64-Sdas,10.140.102.123
CPM-Win10-x64-Sdas02,10.140.102.124
CPM-Win10x64-Sdas03,10.140.102.133
CPM-Win10x64-Sdas04,10.140.102.135
CPM-Win10x86-Sdas,10.140.102.126
CPM-Win11-Sdas,10.140.102.125
CPM-Win11-Sdas03,10.140.102.132
CPM-Win11x64-Sdas02,10.140.102.17
CPMCLDRTW1020H2,10.140.102.7
CPMPALLABIW1064,10.140.102.6
CPMPLBIW106401,10.140.102.12
CPMPNANDYDEVUS1,10.140.102.8
CPMPNANDYPRDUS3,10.140.102.10
CPMPNANDYQAUS2,10.140.102.9
CPMPNANDYW1064,10.140.102.11
CPMSBORAHWIN10,10.140.102.36
CPMU22-AVM1,10.140.102.97
CPMU22-AVM2,10.140.102.82
CPMU22-AVM3,10.140.102.87
CPMU22-AVM4,10.140.102.86
CPMU22-AVM5,10.140.102.91
CPMU22-AVM6,10.140.102.102
CPMU22-AVM7,10.140.102.84
CPMU22-AVM8,10.140.102.38
CPMUbuntu20RSENGUPT,10.140.102.15
CPMUbuntu22RSENGUPT,10.140.102.108
CPMW10-AVM1,10.140.102.94
CPMW10-AVM10,10.140.102.100
CPMW10-AVM11,10.140.102.85
CPMW10-AVM12,10.140.102.101
CPMW10-AVM13,10.140.102.93
CPMW10-AVM14,10.140.102.56
CPMW10-AVM15,10.140.102.92
CPMW10-AVM2,10.140.102.98
CPMW10-AVM3,10.140.102.41
CPMW10-AVM4,10.140.102.96
CPMW10-AVM5,10.140.102.95
CPMW10-AVM6,10.140.102.90
CPMW10-AVM7,10.140.102.89
CPMW10-AVM8,10.140.102.99
CPMW10-AVM9,10.140.102.58
CPMW11-AVM1,10.140.102.88
CPMW11-AVM2,10.140.102.83
CPMWIN10RSENGUPT01,10.140.102.73
CPMWIN10RSENGUPT02,10.140.102.109
CPMWIN10X32,10.140.102.18
CPMWin10x64SBORAH02,10.140.102.110
CPMWIN11RSENGUPT01,10.140.102.47
CPMWIN11RSENGUPT02,10.140.102.114
CPMWIN11RSENGUPT03,10.140.102.116
CPMWIN11RSENGUPT04,10.140.102.122
CPMWIN11RSENGUPT05,10.140.102.127
CPMWIN11RSENGUPT06,10.140.102.128
CPMWIN11RSENGUPT07,10.140.102.129
Craig-Imanage,10.140.32.117
Craig2012,10.140.32.102
Craig2012-2,10.140.32.104
crudolph-2k12-5,10.140.32.6
CSCFMWIN1003,10.140.103.5
CSCFMWIN1004,10.140.103.9
CSCFMWIN1006,10.140.103.7
