"Indicatortype","Indicator","Description"
"FileHash-SHA1","adf0479481869f31d9e691cec3dc96689dc5bee9","SHA1 of 7115580f8235a0bbce61e8af79c3ed5cbe46900912eb0765ccaee82213a9275e"
"FileHash-SHA1","afb677074d6e9549e21f8750c7b61521960ade25","SHA1 of f72768f352994ecce3b9e5109fe93eec"
"FileHash-SHA1","b4c12b7e797dddc2620ac953ad36fc168a59fb15","SHA1 of 73bddd5f1a0847ae5f5d55e7d9c177f6"
"FileHash-SHA1","d65b0cbc3fab280d20c9c60e769e62041f3dd9b9","SHA1 of a5dbfd729b6fd64a6c4fd77a3e356989"
"FileHash-SHA1","db4f1de27f41a0514b4cc92ab36c945fdff8c94f","SHA1 of 5916e5189ef0050dfcc3cc19382d08d5"
"FileHash-SHA1","ebdec120fbbdbff28ebd6accc85d05f7ccabf461","SHA1 of 1c444ebeba24dcba8628b7dfe5fec7c6"
"FileHash-SHA1","fc70daab1dd2732d1bf32cc4078282521acf74af","SHA1 of d962dd55fde800d972a156f5c63a6243"
"FileHash-SHA1","fd905520c6868fc9d75617ac000c6a9e1fb81ab6","SHA1 of e03c7e3e8957ede592de07d3dca247b7"
"FileHash-SHA256","029e41b95553b0d2e6254a52b78630652ce11edeac12d54bca38e9e25b2420d8","SHA256 of 5916e5189ef0050dfcc3cc19382d08d5"
"FileHash-SHA256","0a43911679e3ad25638d04d1f4b000a4be9ba8f93aa46b7860f9309991d18df8","SHA256 of 8d51fbb90ad5942cd1a5a6534bd9d1d7"
"FileHash-SHA256","0e06aa02a69b8efc5c38753849e325c920aaae90c17f50f602257041589ad366","SHA256 of e03c7e3e8957ede592de07d3dca247b7"
"FileHash-SHA256","10ac0884f1b53c3f42d97fd78b17af7ea4397cb6d0222b357c8180733f8165e6","SHA256 of 9fb86915db1b7c00f1a4587de4e052de"
"FileHash-SHA256","1649b9bb8f5979a5e14dd3f16e1279599b878f09be258962727464e88372ceb2","SHA256 of 53542ec51daf61fba2d26fe91b7d701f"
"FileHash-SHA256","221292a9f77f1a16fa0a7ed41b0eedbd312475dd9a5104c7923ed7889ea0f292","SHA256 of 13814a190f61b36aff24d6aa1de56fe2"
"FileHash-SHA256","307ec761e0ebe342b73e48fc024624ecda61855c1782bf9d6270abfda5d985a8","SHA256 of 214011a0d57b1d8238532be4f6414f58"
"FileHash-SHA256","39f9774c56090341cc31590e4b33d8e1c8d2343f9981986a9173452b2e5fae18","SHA256 of d962dd55fde800d972a156f5c63a6243"
"FileHash-SHA256","431900772fde6905031b35077072d694d957b0ce27c3592e10686558843d8b8d","SHA256 of 6aeca48c9090b301b3fdf9da4382c882"
"FileHash-SHA256","4c22116b68732f8fe9e2fb5e56e9ff798f30805f9008e4f7a4be1e1c830162b8",""
"FileHash-SHA256","4d05bef5407ca33b133ff9ca7f1686bc2200e0a3c3af8eec3a164cd86861532b","SHA256 of 73bddd5f1a0847ae5f5d55e7d9c177f6"
"FileHash-SHA256","65e48c986d185d156999adc762d7bff84ddbf44851419d66c2985a2ccc2e072d",""
"FileHash-SHA256","7115580f8235a0bbce61e8af79c3ed5cbe46900912eb0765ccaee82213a9275e",""
"FileHash-SHA256","7ea7cae7dd6353831359179f4834ac4c2e9022659e205ca8506f372aad63f629",""
"FileHash-SHA256","8e1360cc27e95fc47924d9ba3ef84cb8fa9e142cfd16e1503c5277d0c16ae241",""
"FileHash-SHA256","907ccb541d0066d36701310e86e1d2b61448178d1d36f6748af0b3163ca273ac",""
"FileHash-SHA256","91100c15dbd7ce47fc8598ef621181916080860f8f6c5663dc232e3843216cd2","SHA256 of f3b395661cc663c1baad41b439622071"
"FileHash-SHA256","964f04355d636c596e9b622f589d87c5818aa0ac9666012ed62b7819d2220c7a","SHA256 of a5dbfd729b6fd64a6c4fd77a3e356989"
"FileHash-SHA256","96b33df5720901b4f2fc6fb810b6eca994fb8b2ff0edc0aa456195a7c9115615",""
"FileHash-SHA256","a26751cde843d44506ccece87d6347ede5071703bfd63fb12f8982eae7aaf3dd",""
"FileHash-SHA256","a5f0af1124f7abf06e712a2bfb4f1104ee0df179343020577959339617db69b3",""
"FileHash-SHA256","a8829144273332032b5527e41a22cce7f8473206bb22e22c479bfc0b38c80d9b","SHA256 of f72768f352994ecce3b9e5109fe93eec"
"FileHash-SHA256","a9f9e5a30cc858dc135ec428cdd68cb06143732e5c62c4dc4b359c8abc11d74b","SHA256 of 1c444ebeba24dcba8628b7dfe5fec7c6"
"FileHash-SHA256","b668c7308223885f7875b02de2c924bb4456ff2040129c71ae5853a63f824f16","SHA256 of ce186cda677f0120cfdb308803b8e8d8"
"FileHash-SHA256","b9bf3e9725696331916e32e5936111e1166867b1d2d3ab05e46b9fff8679cf8f",""
"FileHash-SHA256","bb4b04eff1b5154d23b2636fc55222e4f27c654777f348edee47c920e457835e",""
"FileHash-SHA256","bebfa50ee48f0b77669ea57dee695d2f6a8b9956649c6bb94e350c92670a5a95","SHA256 of 23d174e6a0905fd59b2613d5ac106261"
"FileHash-SHA256","c6c794348d17d40c544487154ca72e8e6199b670f804ee25d7bcd9ff884d67b1",""
"FileHash-SHA256","ca4182fbaf3f02d9b428f7e851d5a679d6dcfceafabb245cff155b48d9c09307",""
"FileHash-SHA256","caac5087528dde6839481133737de12af973080184b2aa0b2eb35af88875adbb",""
"FileHash-SHA256","d39fd8ddc0d4128d2bb52a1bc11254f0b6bb2533d94f1f386bd5b3e7455fbee2","SHA256 of f9fd9e32cb04c4fc93e65f48562ecad3"
"FileHash-SHA256","da81697353fe3238920a8c2c4cbbf25a298b3e3414f988ece0cf7afb73e3e0a5",""
"FileHash-SHA256","e27f75c4e4e74bff20270ec0f2bd41a4b54c121bcb811451a67c831dba1e4c03",""
"FileHash-SHA256","e2c67e495166be1b97134e67b2326e1b800d3d4d8dba4bc61fd3f8eb3a92d612",""
"FileHash-SHA256","e3718adaca6eafeba6ff171669210cb55a3b8babf3b78072cc513273b99a7639",""
"FileHash-SHA256","e3d375744e9e03c6248cc1c4770c57dedde36f4e2ee1a3e4f04e7218ff568354","SHA256 of c41ffcbd933039bb6981d05b4c4c673e"
"FileHash-SHA256","e60ea877d008e61cb625b4f8b2d712ce9289892f7e799dbb1030301e2db4b0ac",""
"FileHash-SHA256","e8bb67e80203e1996c4098d83667998e7641194347ca6ec52070b58f5d3d2254","SHA256 of 37fe608983d4b06a5549247f0e16bc11"
"FileHash-SHA256","ebbcc2075fcb0ba18d43475b8454c51b35bb65e1ed323b657ea7d9651e98074d",""
